sentence,ID,clean sentence,start_index,end_index,phrase,syllables,length,pos,dep num,lemma,synonyms,hypernyms,hyponyms,ogden,simple_wiki,cald,cnc,img,aoa,phon,sub_imdb,google frequency,KFCAT,FAM,KFSMP,KFFRQ,NPHN,TLFRQ
"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",186,192,molina,3,6,NNP,5,molina,0,0,0,0,0,0,0,0,0,0,0,1.314029,0,0,0,0,0,0
"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",72,81,yesterday,3,9,NN,0,yesterday,4,1,0,0,0,1,0,0,0,7,1,26.353217,83,0,38,11,7,290
"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",85,94,guatemala,4,9,NNP,1,guatemala,1,0,0,0,1,0,0,0,0,0,0,8.487606,0,0,0,0,0,0
"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",127,135,attorney,3,8,NN,0,attorney,1,1,11,0,1,5,0,0,0,0,1,28.111948,65,0,31,9,0,175
"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",114,122,approved,2,8,VBD,3,approve,2,1,4,1,0,0,0,0,0,5,1,10.973747,14,0,12,6,5,171
"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",157,164,impeach,2,7,VB,2,impeach,3,1,0,0,0,0,0,0,0,0,0,0.527913,0,0,0,0,0,3
"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",136,143,general,3,7,NN,3,general,10,1,1,1,1,4,408,491,0,7,1,622.692837,497,568,208,13,7,770
"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",146,153,request,2,7,NN,1,request,5,1,3,0,0,3,0,0,0,7,1,59.811073,49,0,35,11,7,191
"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",175,179,otto,2,4,NNP,0,otto,0,0,0,0,1,0,0,0,0,3,0,10.306916,1,0,1,1,3,0
"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",180,185,pérez,1,5,NNP,0,pérez,0,0,0,0,0,0,0,0,0,0,0,0.148887,0,0,0,0,0,0
"#37-2 President Molina, pictured here in 2013, is accused of corruption.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"President Molina, pictured here in 2013, is accused of corruption.",6,15,president,3,9,NNP,0,president,6,1,0,1,1,2,526,572,458,0,1,195.932371,382,538,110,13,0,1019
"#37-2 President Molina, pictured here in 2013, is accused of corruption.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"President Molina, pictured here in 2013, is accused of corruption.",16,22,molina,3,6,NNP,4,molina,0,0,0,0,0,0,0,0,0,0,0,1.314029,0,0,0,0,0,0
"#37-2 President Molina, pictured here in 2013, is accused of corruption.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"President Molina, pictured here in 2013, is accused of corruption.",24,32,pictured,2,8,VBN,2,picture,12,1,12,1,1,0,579,581,219,6,1,0,162,597,98,14,6,1463
"#37-2 President Molina, pictured here in 2013, is accused of corruption.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"President Molina, pictured here in 2013, is accused of corruption.",50,57,accused,2,7,VBN,4,accuse,2,1,4,0,0,0,0,0,0,0,0,4.42444,10,0,8,6,0,133
"#37-2 President Molina, pictured here in 2013, is accused of corruption.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"President Molina, pictured here in 2013, is accused of corruption.",61,71,corruption,3,10,NN,1,corruption,6,1,3,0,1,5,0,0,0,8,0,22.60891,14,0,10,6,8,15
#37-3 The final decision on lifting Presidential immunity now falls to Congress.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,The final decision on lifting Presidential immunity now falls to Congress.,16,24,decision,3,8,NN,3,decision,5,1,5,1,0,3,297,340,437,7,1,187.49348,119,601,62,14,7,286
#37-3 The final decision on lifting Presidential immunity now falls to Congress.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,The final decision on lifting Presidential immunity now falls to Congress.,10,15,final,2,5,JJ,0,final,5,1,1,0,1,4,0,407,0,0,1,169.617955,156,574,106,15,0,345
#37-3 The final decision on lifting Presidential immunity now falls to Congress.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,The final decision on lifting Presidential immunity now falls to Congress.,28,35,lifting,2,7,VBG,0,lift,36,1,0,0,0,0,461,482,311,4,1,12.451774,23,555,18,12,4,717
#37-3 The final decision on lifting Presidential immunity now falls to Congress.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,The final decision on lifting Presidential immunity now falls to Congress.,49,57,immunity,4,8,NN,3,immunity,4,1,1,0,0,0,293,367,589,8,0,14.111817,7,431,4,4,8,20
#37-3 The final decision on lifting Presidential immunity now falls to Congress.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,The final decision on lifting Presidential immunity now falls to Congress.,36,48,presidential,4,12,JJ,0,presidential,2,0,0,0,1,4,0,0,0,11,0,27.131447,34,0,20,10,11,76
#37-3 The final decision on lifting Presidential immunity now falls to Congress.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,The final decision on lifting Presidential immunity now falls to Congress.,62,67,falls,1,5,VBZ,4,fall,44,1,0,1,1,0,409,547,0,3,1,153.092697,147,572,106,14,3,1000
#37-3 The final decision on lifting Presidential immunity now falls to Congress.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,The final decision on lifting Presidential immunity now falls to Congress.,71,79,congress,2,8,NNP,1,congress,4,1,0,0,1,0,384,356,575,7,0,129.724234,152,389,58,9,7,229
#37-4 The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,99,108,president,3,9,NNP,1,president,6,1,0,1,1,2,526,572,458,0,1,195.932371,382,538,110,13,0,1019
#37-4 The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,28,38,corruption,3,10,NN,0,corruption,6,1,3,0,1,5,0,0,0,8,0,22.60891,14,0,10,6,8,15
#37-4 The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,10,14,case,1,4,NN,1,case,22,1,3,1,0,4,548,517,311,3,1,625.555774,362,553,202,15,3,912
#37-4 The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,15,22,relates,2,7,VBZ,3,relate,5,1,6,1,0,0,0,0,0,0,0,21.505581,7,0,7,3,0,80
#37-4 The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,39,46,scandal,2,7,NN,5,scandal,2,1,0,0,0,4,0,0,0,0,0,9.001589,8,0,6,5,0,99
#37-4 The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,53,60,locally,3,7,RB,0,locally,2,0,0,0,0,0,0,0,0,0,0,18.357574,0,0,0,0,0,0
#37-4 The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,64,66,la,1,2,NNP,0,la,3,1,0,0,1,0,0,0,0,2,1,261.140001,61,0,37,11,2,66
#37-4 The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,67,72,linea,3,5,NNP,5,linea,0,0,0,0,0,0,0,0,0,0,0,0.638278,0,0,0,0,0,0
#37-4 The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,94,98,vice,1,4,NNP,0,vice,2,1,0,0,1,6,399,413,517,0,1,47.954573,41,457,28,9,0,134
#37-4 The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,109,115,roxana,3,6,NNP,0,roxana,0,0,0,0,0,0,0,0,0,0,0,0.328082,0,0,0,0,0,0
#37-4 The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,116,124,baldetti,3,8,NNP,2,baldetti,0,0,0,0,0,0,0,0,0,0,0,0.207966,0,0,0,0,0,0
#37-4 The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,151,156,fraud,1,5,NN,3,fraud,3,1,11,0,0,6,304,381,519,4,1,11.924467,8,447,5,4,4,31
#37-4 The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,125,133,arrested,3,8,VBD,1,arrest,6,1,0,0,0,0,0,0,0,5,1,26.430049,19,0,14,9,5,216
#37-4 The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,138,145,charged,1,7,VBD,2,charge,40,1,1,1,1,0,0,0,0,4,1,0,122,0,79,13,4,651
#37-4 The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,161,170,receiving,3,9,VBG,1,receive,13,1,6,1,0,0,0,0,0,5,1,46.025558,76,0,56,13,5,735
#37-4 The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,171,177,bribes,1,6,NNS,0,bribe,2,1,4,0,0,0,367,425,0,4,0,2.265348,1,531,1,1,4,31
#37-5 Prosecutors allege Baldetti and Molina between them received half of all bribes in the case.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,Prosecutors allege Baldetti and Molina between them received half of all bribes in the case.,38,44,molina,3,6,NNP,1,molina,0,0,0,0,0,0,0,0,0,0,0,1.314029,0,0,0,0,0,0
#37-5 Prosecutors allege Baldetti and Molina between them received half of all bribes in the case.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,Prosecutors allege Baldetti and Molina between them received half of all bribes in the case.,93,97,case,1,4,NN,2,case,22,1,3,1,0,4,548,517,311,3,1,625.555774,362,553,202,15,3,912
#37-5 Prosecutors allege Baldetti and Molina between them received half of all bribes in the case.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,Prosecutors allege Baldetti and Molina between them received half of all bribes in the case.,25,33,baldetti,3,8,NNP,1,baldetti,0,0,0,0,0,0,0,0,0,0,0,0.207966,0,0,0,0,0,0
#37-5 Prosecutors allege Baldetti and Molina between them received half of all bribes in the case.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,Prosecutors allege Baldetti and Molina between them received half of all bribes in the case.,79,85,bribes,1,6,NNS,2,bribe,2,1,4,0,0,0,367,425,0,4,0,2.265348,1,531,1,1,4,31
#37-5 Prosecutors allege Baldetti and Molina between them received half of all bribes in the case.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,Prosecutors allege Baldetti and Molina between them received half of all bribes in the case.,6,17,prosecutors,4,11,NNS,0,prosecutor,1,2,2,0,0,0,520,497,0,10,0,2.577875,8,454,5,3,10,30
#37-5 Prosecutors allege Baldetti and Molina between them received half of all bribes in the case.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,Prosecutors allege Baldetti and Molina between them received half of all bribes in the case.,18,24,allege,2,6,VBP,5,allege,1,1,1,0,0,6,0,281,0,4,0,1.034965,1,279,1,1,4,44
#37-5 Prosecutors allege Baldetti and Molina between them received half of all bribes in the case.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,Prosecutors allege Baldetti and Molina between them received half of all bribes in the case.,58,66,received,2,8,VBD,2,receive,13,1,6,1,0,0,0,0,0,5,1,93.936715,76,0,56,13,5,735
#37-5 Prosecutors allege Baldetti and Molina between them received half of all bribes in the case.,3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,Prosecutors allege Baldetti and Molina between them received half of all bribes in the case.,67,71,half,1,4,NN,1,half,6,1,2,1,1,3,389,458,267,0,1,280.169682,275,610,168,15,0,1984
"#37-6 Congress previously refused to impeach Molina but the investigation has since broadened, with ministerial resignations.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Congress previously refused to impeach Molina but the investigation has since broadened, with ministerial resignations.",45,51,molina,3,6,NNP,1,molina,0,0,0,0,0,0,0,0,0,0,0,1.314029,0,0,0,0,0,0
"#37-6 Congress previously refused to impeach Molina but the investigation has since broadened, with ministerial resignations.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Congress previously refused to impeach Molina but the investigation has since broadened, with ministerial resignations.",37,44,impeach,2,7,VB,2,impeach,3,1,0,0,0,0,0,0,0,0,0,0.527913,0,0,0,0,0,3
"#37-6 Congress previously refused to impeach Molina but the investigation has since broadened, with ministerial resignations.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Congress previously refused to impeach Molina but the investigation has since broadened, with ministerial resignations.",6,14,congress,2,8,NNP,0,congress,4,1,0,0,1,0,384,356,575,7,0,129.724234,152,389,58,9,7,229
"#37-6 Congress previously refused to impeach Molina but the investigation has since broadened, with ministerial resignations.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Congress previously refused to impeach Molina but the investigation has since broadened, with ministerial resignations.",15,25,previously,4,10,RB,0,previously,1,0,0,0,0,3,0,0,0,0,1,83.126555,0,0,0,0,0,0
"#37-6 Congress previously refused to impeach Molina but the investigation has since broadened, with ministerial resignations.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Congress previously refused to impeach Molina but the investigation has since broadened, with ministerial resignations.",26,33,refused,2,7,VBD,3,refuse,7,1,0,1,0,0,426,419,394,0,1,62.567172,16,518,16,7,0,564
"#37-6 Congress previously refused to impeach Molina but the investigation has since broadened, with ministerial resignations.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Congress previously refused to impeach Molina but the investigation has since broadened, with ministerial resignations.",60,73,investigation,5,13,NN,2,investigation,2,1,1,0,0,4,351,397,486,12,1,66.644417,51,501,37,11,12,116
"#37-6 Congress previously refused to impeach Molina but the investigation has since broadened, with ministerial resignations.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Congress previously refused to impeach Molina but the investigation has since broadened, with ministerial resignations.",84,93,broadened,2,9,VBN,6,broaden,4,1,0,0,0,0,0,0,0,5,0,4.253465,8,0,6,3,5,19
"#37-6 Congress previously refused to impeach Molina but the investigation has since broadened, with ministerial resignations.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Congress previously refused to impeach Molina but the investigation has since broadened, with ministerial resignations.",100,111,ministerial,5,11,JJ,0,ministerial,2,0,0,0,0,0,0,0,0,0,0,6.231776,2,0,2,2,0,8
"#37-6 Congress previously refused to impeach Molina but the investigation has since broadened, with ministerial resignations.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Congress previously refused to impeach Molina but the investigation has since broadened, with ministerial resignations.",112,124,resignations,4,12,NNS,2,resignation,3,1,1,0,0,0,0,0,0,10,0,0.819082,7,0,7,4,10,65
"#37-7 Molina, however, has stood firm in the face of widespread popular protests demanding he leave office.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Molina, however, has stood firm in the face of widespread popular protests demanding he leave office.",6,12,molina,3,6,NNP,0,molina,0,0,0,0,0,0,0,0,0,0,0,1.314029,0,0,0,0,0,0
"#37-7 Molina, however, has stood firm in the face of widespread popular protests demanding he leave office.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Molina, however, has stood firm in the face of widespread popular protests demanding he leave office.",27,32,stood,1,5,VBN,8,stand,24,1,4,1,1,0,450,471,0,5,1,130.530652,148,564,117,15,5,1707
"#37-7 Molina, however, has stood firm in the face of widespread popular protests demanding he leave office.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Molina, however, has stood firm in the face of widespread popular protests demanding he leave office.",53,63,widespread,2,10,JJ,0,widespread,2,0,0,0,0,5,0,0,0,0,0,36.563263,0,0,0,0,0,0
"#37-7 Molina, however, has stood firm in the face of widespread popular protests demanding he leave office.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Molina, however, has stood firm in the face of widespread popular protests demanding he leave office.",33,37,firm,1,4,NN,0,firm,14,1,7,1,0,5,400,404,0,0,1,94.231994,109,567,65,13,0,425
"#37-7 Molina, however, has stood firm in the face of widespread popular protests demanding he leave office.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Molina, however, has stood firm in the face of widespread popular protests demanding he leave office.",45,49,face,1,4,NN,3,face,22,1,1,1,0,3,599,581,166,0,1,321.557459,371,612,189,15,0,3902
"#37-7 Molina, however, has stood firm in the face of widespread popular protests demanding he leave office.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Molina, however, has stood firm in the face of widespread popular protests demanding he leave office.",72,80,protests,2,8,NNS,4,protest,6,1,0,0,0,0,339,472,475,7,0,10.080381,23,530,21,10,7,440
"#37-7 Molina, however, has stood firm in the face of widespread popular protests demanding he leave office.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Molina, however, has stood firm in the face of widespread popular protests demanding he leave office.",64,71,popular,3,7,JJ,0,popular,4,0,0,1,0,4,0,422,0,0,1,130.639409,98,626,73,13,0,418
