,frequency
City status in the United Kingdom,81
Tropical Storm Barry (2007),81
Bamberg,81
Henry VIII of England,81
Venerable Order of Saint John,81
Historical geology,80
Lotte Giants,80
Manchester,80
Pornography,80
Danny Lewicki,80
Helena Bonham Carter,80
Typhoon Tip,80
SuwaÅki,80
Samurai,80
1800â1809 Atlantic hurricane seasons,80
Manhattan,80
Calcium,80
Cheema,80
Banana,80
BahÃ¡'Ã­ Faith,80
Raffles Institution (Secondary),79
Dominican Republic,79
History of England,79
Denmark,79
Anti-nuclear movement,79
1998 Atlantic hurricane season,79
Giuseppe Verdi,79
Sea snake,79
Wikipedia:Alert,79
Guitar,79
Die Meistersinger von NÃ¼rnberg,79
Bird nest,78
Jane Austen,78
Green Day,78
Yellow journalism,78
Randy Orton,78
Hermann GÃ¶ring,78
List of Slipknot band members,78
Bahrain,78
X-Men: The Last Stand,78
Gautama Buddha,78
Snail,78
Airbus A330,78
Bismuth,78
Mercedes GP,78
Sun,78
Bat,78
Tristan und Isolde,77
Sexual intercourse,77
Emanuel Lasker,77
Raphael,77
George W. Bush,77
Der Rosenkavalier,77
Alexei Shirov,77
Narain Karthikeyan,77
Pakistan,77
Wikipedia:Privacy policy,77
Michael Howe (bushranger),77
American Airlines Flight 11,77
Hormone,77
Howard Staunton,77
Transgender,77
Rat,77
Basseterre,77
Honey Badger,77
Barnes &amp; Noble,77
Sleep,77
Cloud computing,77
Parkour,77
Hugo Wolf,76
Everton F.C.,76
Maharishi Mahesh Yogi,76
1820â1829 Atlantic hurricane seasons,76
Nuremberg,76
The Hobbit,76
Greece,76
John Bunyan,76
New York Philharmonic,76
Ant,76
Metal,76
Derby County F.C.,76
Shinee,76
Embedded system,76
Boeing 737,76
Didgeridoo,75
Sacred Heart,75
Lithuania,75
Wii,75
Electricity,75
Thyme,75
Red Bull,75
Tatami,75
Hurricane Vince (2005),75
Neal Cassady,75
Order of St Michael and St George,75
V6 engine,75
Vitamin C,75
Middle Ages,74
Cleopatra VII,74
Pyotr Ilyich Tchaikovsky,74
Cockatoo Island (New South Wales),74
Mall of America,74
Alexander Graham Bell,74
Fall of Man,74
"Nelson Piquet, Jr.",74
The Church of Jesus Christ of Latter-day Saints,74
William Herschel,74
Electric Light Orchestra,74
Selenium,74
No Mercy (2007),74
Edmund Phelps,74
Bronze Age collapse,73
Crime in India,73
William Hovell,73
Blacksmith,73
The Seasons (Haydn),73
Caliphate,73
Die Hard 2,73
Good Friday,73
"Hyderabad, India",73
Wikipedia:Requests for adminship/Philosopher,73
Wikipedia:User access levels,73
Tellurium,73
JosÃ© RaÃºl Capablanca,73
Liancourt Rocks,73
Ipswich Town F.C.,73
Marie Antoinette,72
Lightning Bar,72
Japan,72
Anna Louise Strong,72
Abraham Lincoln,72
Aeschylus,72
James Branch Cabell,72
Mali,72
Thunderstorm,72
Concorde Agreement,72
Raymond Carver,72
Lorem ipsum,72
CosÃ¬ fan tutte,72
Karen Carpenter,72
South Korea,72
Church of Satan,72
2009 Atlantic hurricane season,72
Isaac Newton,72
Torres Strait,72
Basilica,72
Buddhism,71
Lysergic acid diethylamide,71
Acherontia atropos,71
Jeff Hardy,71
Claudio Monteverdi,71
Template:Tmbox/doc,71
Tin,71
Fritz MÃ¼ller,71
Zakarpattia Oblast,71
Eusociality,71
1996 Atlantic hurricane season,71
Alban Berg,71
Template:Infobox musical artist/doc,71
Charles Ives,71
Wikipedia:Advanced table formatting,71
OgyÅ« Sorai,71
Hurricane Henriette (2007),71
Bayreuth Festival,71
Hippopotamus,71
Peanut,71
Ernst RÃ¶hm,70
Church music,70
List of Formula One constructors,70
Hurricane Gordon (2006),70
Essjay controversy,70
Particle in a box,70
Template:S-line/doc,70
Bryozoa,70
Avril Lavigne,70
VÃ¡clav Havel,70
Dave Batista,70
Orthography,70
Eugenics,70
Assisi,70
Pug,70
Anne Boleyn,70
"Sartell, Minnesota",70
Franz Schubert,70
Waterworld,70
Tropical Storm Gabrielle (2007),70
Felix Mendelssohn,70
Flag of Scotland,70
Lead,70
Jerusalem,70
Wikipedia:Requests for adminship/Malinaccier,70
Alexander Pushkin,70
Mobile phone,70
Aaron Copland,70
Energy conservation,69
Prehistoric Britain,69
Bass guitar,69
LeoÅ¡ JanÃ¡Äek,69
Kanda University of International Studies,69
Silverwing (novel),69
Solomon's Temple,69
Disney's Animal Kingdom,69
Survivor: Pearl Islands,69
Capitalism,69
Hornet,69
Dumbo,69
Daniela HantuchovÃ¡,69
Nevado del Ruiz,69
Nanotechnology,69
Mars,69
The Barber of Seville,69
Sarah Michelle Gellar,69
Ford Model T,69
The Canterbury Tales,69
Cartoon All-Stars to the Rescue,69
Henry Purcell,69
Religious Society of Friends,69
Reginald Dyer,69
Billy Budd (opera),69
Lithium,69
Bury St Edmunds,69
Physics,69
Futon,69
Luigi Cherubini,68
Wikipedia:Text of Creative Commons Attribution-ShareAlike 3.0 Unported License,68
List of cities in the United Kingdom,68
"Martin Luther King, Jr.",68
Chinese language,68
Cambodia,68
Eragon,68
Ronald Reagan,68
Art film,68
Canonic Variations on &quot;Vom Himmel hoch da komm' ich her&quot;,68
Wikipedia:Administrators' noticeboard,68
Furby,68
Hurricane Ivan,68
Hurricane Florence (2006),68
Edvard Grieg,68
Global warming,68
Jack the Ripper,68
Percy Jackson &amp; the Olympians: The Lightning Thief,68
Copper(II) sulfate,68
Fresco,68
BÃ¡b,68
Moscow,68
Norway,68
Anchor,68
Essen,68
Matcha,67
Wikipedia:Requests for adminship/Shapiros10,67
Joseph Haydn,67
Red Dead Redemption,67
Hungary,67
Nat King Cole,67
Linda McCartney,67
Luftwaffe,67
Lee Kuan Yew,67
Kidney,67
Statistics,67
History of Spain,67
Pichilemu,67
Planetary nebula,67
Parables of Jesus,67
Cy Young,67
Hashish,67
John Calvin,67
Harry Potter and the Half-Blood Prince,67
Hispania Racing,67
Theory of Colours,67
SOS,67
Olivier Messiaen,67
Yellowstone National Park,67
Miles Davis,66
Catharism,66
Libya,66
Sarah Siddons,66
Joseph Chamberlain,66
Caecilian,66
United States Bill of Rights,66
Luciano Pavarotti,66
Akiba Rubinstein,66
Oil painting,66
Philosophy,66
Stefanie Sun,66
Maine,66
Environment of Florida,66
Castle,66
Bethlehem Housing Authority,66
Beau Brummell,66
B of the Bang,66
Joseph Stalin,66
Eilenburg,66
Leadbeater's Possum,65
Amazon River,65
Patent,65
Printed circuit board,65
Thomas Beecham,65
Naginata,65
The Beatles,65
Grover Underwood,65
Yuri Gagarin,65
"Araluen, New South Wales",65
Ash Ketchum,65
Maurice Ravel,65
Heart (band),65
South Park,65
Machine code,65
BedÅich Smetana,65
Wikipedia:AutoEd/Customization,65
WALL-E,65
Autodromo Enzo e Dino Ferrari,65
"Parkes, New South Wales",65
Esperanto,65
Communism,65
Petrushka,65
Mikhail Botvinnik,65
Paper,64
Bruno Walter,64
Bridgestone,64
Jonathan Edwards (athlete),64
Gastropoda,64
Concerto,64
Christian Wulff,64
NASA,64
Girls' Generation,64
Mary Robinson,64
Plant,64
Linux,64
Anna Kournikova,64
Trail of Tears,64
The Cunning Little Vixen,64
Italian cultural and historic presence in Dalmatia,64
Joe Biden,64
Tropical Storm Chris (2006),64
Hurricane Mitch,64
Chris Benoit,64
Australian English,64
Tropical Storm Erin (2007),64
Karlheinz Stockhausen,64
L'incoronazione di Poppea,64
Murder of Meredith Kercher,64
The Tell-Tale Heart,64
Traction motor,64
Russian Civil War,64
Apple Corps,64
June Tabor,64
Golden Earring,64
Gioachino Rossini,64
Nautilus,64
HammerFall,64
Algebra,64
Rabat,64
California,64
Jacqueline du PrÃ©,63
Dan Morgan (bushranger),63
Nickel,63
Goethe's Faust,63
Joschka Fischer,63
Sania Mirza,63
Treaty of Versailles,63
Hercules and the Circle of Fire,63
Portman Road,63
Mormonism,63
The Blues Brothers,63
Eukaryote,63
Munich U-Bahn,63
Mauritius,63
Plautus,63
Louis XIV of France,63
Barack Obama,63
Bessie Smith,63
Jean Sibelius,63
Yatsuhashi,63
Survivor: All-Stars,63
Silver,63
Prostitution,63
Cold War,63
Vaccine,63
Democratic Republic of the Congo,63
Hurricane Ismael,63
Oscar Wilde,63
Emma of Waldeck and Pyrmont,63
Cape Verde,62
George Sand,62
Lion,62
Michael Jackson,62
The Rake's Progress,62
Cyclone Nargis,62
Mexican War of Independence,62
Combined oral contraceptive pill,62
Om Shanti Om,62
Nuclear energy policy,62
Socialist Party (France),62
Captain Moonlite,62
Wilhelm FurtwÃ¤ngler,62
Octopus,62
Lenzburg,62
God,62
Nineteen Eighty-Four,62
Sistine Chapel,62
United States Constitution,62
A1 Grand Prix,62
Calculus,62
Statistical process control,62
1986 Pacific hurricane season,62
Valley,62
Dutch language,62
George MÃ¼ller,62
Hypercube,62
Dot product,62
Mao Zedong,62
Theatre,62
Santorini,62
Galerius,62
List of Avatar: The Last Airbender characters,62
China,62
Formula Two,61
DÃ¼sseldorf,61
Anne of Austria,61
Alps,61
BÃ©la BartÃ³k,61
Co-operative Party,61
Battle of Waterloo,61
Michael Tippett,61
1994 Atlantic hurricane season,61
Spandau Prison,61
Vietnam,61
Midwestern United States,61
North Sea,61
Johannes Brahms,61
"Virginia Beach, Virginia",61
Law,61
Martin Luther,61
Crime and Punishment,61
Southwest Alaska,61
Florida,61
Fredric Wertham,61
Mermaid,61
MacBook Air,61
Gaius Cassius Longinus,61
Epidemiology,60
Messiah (Handel),60
DNA,60
4 Vesta,60
Wernher von Braun,60
Uranus,60
American Express,60
Noah's Ark,60
Dance,60
Silent Hill,60
Nikolai Rimsky-Korsakov,60
Frederick Pottinger,60
Anne of Denmark,60
Students for a Democratic Society,60
Ghoul,60
Chopsticks,60
Daniel Barenboim,60
Halo: Combat Evolved,60
Special relativity,60
Algae,60
Romeo and Juliet,60
Idomeneo,60
Molotov cocktail,60
Guillaume Dufay,60
Manorialism,60
Aberdeen F.C.,60
Son of the Shadows,60
Billie Piper,60
Inuit,60
Carl Sagan,59
Joseph Dalton Hooker,59
Salvador Allende,59
RSA,59
MartÃ­n Chambi,59
Confidence interval,59
Ichthyosaur,59
Kashmir,59
Accountancy,59
White Ã©migrÃ©,59
Claude Debussy,59
"Warhammer 40,000",59
William Byrd,59
SÃ©bastien Bourdais,59
Recorder,59
Moscow Metro,59
George Washington,59
The 39 Clues,59
"Huntsville, Alabama",59
A Midsummer Night's Dream,59
Disney's Hollywood Studios,59
Tom Simpson,59
Sichuan pepper,59
Archbishopric of Salzburg,59
Robbie Williams,59
"Williamstown, Victoria",59
Scott Speed,59
Quebec,59
Henry Wood,59
Template:Infobox lake/doc,59
Death (personification),59
Anthony Powell,59
Template:United States topic/doc,58
Hair,58
Thallium,58
Year of the Four Emperors,58
Alfred Sisley,58
University of Michigan,58
Gender identity,58
BioShock,58
Creation myth,58
Sponge,58
Wikipedia:Verifiability,58
AutÃ³dromo JosÃ© Carlos Pace,58
Tudor period,58
Fish,58
Postcodes in Australia,58
Star of Bethlehem,58
Jean-Baptiste Lully,58
Unification Church,58
Moon,58
Bonsai,58
Paint,58
Ana IvanoviÄ,58
Klingon Language Institute,58
Roman Kingdom,58
Fidelio,58
Welsh language,58
Edmund Pevensie,58
Hanami,58
Nagar Valley,58
Richard Nixon,57
Riaz Ahmed Gohar Shahi,57
Carl Radle,57
Zanzibar,57
Crich Tramway Village,57
Renaissance music,57
Immanuel Kant,57
Pennsylvania,57
Edward the Martyr,57
Enzyme,57
History of Taiwan,57
Maxwell's equations,57
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",57
Coheed and Cambria,57
Phosphorus,57
PokÃ©mon (video game series),57
Davy Crockett,57
Thirty Years' War,57
The Legacy (professional wrestling),57
Byzantine Empire,57
Tropical Storm Grace (2009),57
Claudette Colbert,57
Independent State of Croatia,57
Fuji Speedway,57
College of Arms,57
Age of the Earth,57
Malcolm Sargent,57
John Dee,57
Gameplay of PokÃ©mon,57
Sopron,57
Jallianwala Bagh massacre,57
Coen brothers,57
Harp,57
Grupo Santander,57
Konrad Lorenz,57
Capsicum,56
Template:Infobox protected area/doc,56
Bhopal disaster,56
Phil Spector,56
Archimedes,56
Erwin Rommel,56
Household Cavalry,56
The Cure,56
Carnival,56
CoppÃ©lia,56
"Charlotte, North Carolina",56
Wikipedia:Requests for permissions/Rollback,56
"Cowra, New South Wales",56
Dejima,56
Charles Darwin,56
Black Death,56
Stream cipher,56
The Fox and the Hound,56
Kitti's Hog-nosed Bat,56
Voyager 1,56
Apostles' Creed,56
Royal Rumble (2009),56
History of chess,56
Sparrow,56
Rings of Neptune,56
Wikipedia:Requests for adminship/NonvocalScream 2,56
George Martin,56
Die Hard with a Vengeance,56
Viktor Korchnoi,56
Musical notation,56
Gas compressor,56
European Union,56
Halophile,56
Craig Mello,56
Yoko Ono,56
Major depressive disorder,56
1917â18 NHL season,56
Bop It,56
You're Cut Off!,56
Paris Hilton,56
September 11 attacks,56
Oakwell,56
Talyllyn Railway,56
Franz Kafka,56
Bushido (rapper),55
"Glendale, Arizona",55
The Nose (opera),55
Straight pool,55
Kingston upon Hull,55
Night of the Living Dead,55
Richard Leakey,55
Sailor Moon,55
Aristotle,55
Freak the Mighty,55
Template:Navbox/doc,55
Can't Be Tamed,55
Wikipedia:Avoiding Wikipedia quirks,55
Thoroughbred,55
Jane Goodall,55
Vietnam War,55
DuckTales,55
Valais,55
Yoghurt,55
The Guardian Legend,55
Animal testing,55
American Revolutionary War,55
Pasteurization,55
Arbon,55
Battle of Gettysburg,55
2011 TÅhoku earthquake and tsunami,55
Count Basie,55
Wasp,55
Cadmium,55
French Island (Victoria),55
The Bad Beginning,55
North Korea,55
Orange (fruit),55
Voodoo,55
Hibari Misora,55
Help:Books/Frequently Asked Questions,55
Amazon Rainforest,55
Game port,55
Babylonia,55
Potassium permanganate,55
Caffeine,55
Mount St. Helens,55
Poker,54
Siberian Intervention,54
"Woodstock, Ontario",54
Dragonfly,54
Iceland,54
Flower,54
Hera,54
Bible,54
Cuckoo,54
Money,54
Vernon and Irene Castle,54
The Tsar's Bride,54
Wells Cathedral,54
Gregorian chant,54
Smokey Bear,54
Steve Martin,54
Hurricane Grace (1991),54
Luke Skywalker,54
Direct-to-video,54
2007â08 UEFA Cup,54
Sparta,54
Odyssey,54
Starfish,54
James B. Dudley,54
Winston Churchill,54
Cyberman,54
Tyson (Percy Jackson),54
Dante Alighieri,54
Roman Empire,54
Heath Ledger,54
Bastille,54
Hercules in the Underworld,54
Isle of Man,54
Joseph Goebbels,53
Frank Gardiner,53
Template:Singlechart/doc,53
Lachlan Macquarie,53
Worm,53
Federal government of the United States,53
Lea Michele,53
Theodore Long,53
2006 Pacific hurricane season,53
PokÃ©mon,53
